municipio;homologacao;nome_bem_imaterial_registrado;local_ocorrencia_bem_imaterial_registrado;esfera_de_protecao;categoria;exercicio_aceito_para_efeito_de_pontuacao
São Geraldo da Piedade;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Geraldo do Baixio;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Gonçalo do Abaeté;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Gonçalo do Abaeté;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
São Gonçalo do Abaeté;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Gonçalo do Pará;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Gonçalo do Rio Abaixo;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Gonçalo do Rio Abaixo;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
São Gonçalo do Rio Abaixo;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Gonçalo do Rio Preto;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Gonçalo do Rio Preto;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
São Gonçalo do Rio Preto;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São Gonçalo do Rio Preto;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
São Gonçalo do Rio Preto;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Gonçalo do Sapucaí;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Gonçalo do Sapucaí;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Gotardo;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Gotardo;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
São Gotardo;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São Gotardo;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
São Gotardo;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São João Batista do Glória;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São João Batista do Glória;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
São João Batista do Glória;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São João da Lagoa;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São João da Lagoa;;Matrizes Tradicionais do Forró;Não informado;FEDERAL;RI *12;
São João da Lagoa;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
São João da Lagoa;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São João da Mata;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São João da Mata;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São João da Mata;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São João da Ponte;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São João da Ponte;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São João das Missões;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São João das Missões;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São João das Missões;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
São João del Rei;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São João del Rei;;Linguagem dos Sinos;Não informado;FEDERAL;RI *3;
São João del Rei;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
São João del Rei;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São João del Rei;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São João do Manhuaçu;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São João do Manteninha;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São João do Pacuí;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São João do Pacuí;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
São João do Pacuí;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São João do Paraíso;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São João do Paraíso;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São João do Paraíso;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
São João do Paraíso;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São João Evangelista;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São João Nepomuceno;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São João Nepomuceno;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São João Nepomuceno;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Joaquim de Bicas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Joaquim de Bicas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São José da Barra;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São José da Barra;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São José da Lapa;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São José da Safira;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São José da Safira;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São José da Varginha;;Violas de Minas;Não informado;ESTADUAL;RI *9;
