municipio;homologacao;nome_bem_imaterial_registrado;local_ocorrencia_bem_imaterial_registrado;esfera_de_protecao;categoria;exercicio_aceito_para_efeito_de_pontuacao
Candeias;Inscrição nº002/2022;Fanfarra municipal;Não informado;MUNICIPAL;RI*FOR;2024,0
Carmo do Cajuru;Inscrição nº002/2022;Associação Musical Cajuruense;Não informado;MUNICIPAL;RI*FOR;2024,0
Bom Jardim de Minas;Inscrição nº002/2022;Peregrinação do Caminho do Bom Jesus;Não informado;MUNICIPAL;RI*CEL;2025,0
Betim;Inscrição nº003/2021;Reinado de Nossa Senhora do Rosário da Colônia de Santa Isabel;Não informado;MUNICIPAL;RI*CEL;2023,0
Aiuruoca;Inscrição nº003/2022;Companhia de Folia de Reis;Não informado;MUNICIPAL;RI*CEL;2024,0
Brumadinho;Inscrição nº01 /2014;Guarda de Congo e Moçambique do Sapé;Rua Três nº 71 - Povoado do Sapé;MUNICIPAL;RI*CEL;2018,0
Augusto de Lima;Inscrição nº01/ 2009;Dança da Saia Dourada;Não informado;MUNICIPAL;RI*FOR;2016,0
Camanducaia;Inscrição nº01/ 2013;Festa de Nossa Senhora Imaculada Conceição;Não informado;MUNICIPAL;RI*CEL;2016,0
Araújos;Inscrição nº01/ 2014;Festa de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2016,0
Bom Despacho;Inscrição nº01/ 2014;Festa de Reinado de Nossa Senhorado Rosário;Não informado;MUNICIPAL;RI*CEL;2016,0
Barroso;Inscrição nº01/ 2014;Banda de música de barroso;Não informado;MUNICIPAL;RI*FOR;2019,0
Belo Vale;Inscrição nº01/ 2016;Congado de Belo Vale;Não informado;MUNICIPAL;RI*FOR;2018,0
Alpinópolis;Inscrição nº01/ 2016;Festa de Reinado de Alpinópolis;Não informado;MUNICIPAL;RI*CEL;2018,0
Barroso;Inscrição nº01/ 2019;Companhia Fofocas de Teatro;Não informado;MUNICIPAL;RI*FOR;2021,0
Campo do Meio;Inscrição nº01/2009;Festa de Nossa Senhora Aparecida;Sede;MUNICIPAL;RI*CEL;2012,0
Caeté;Inscrição nº01/2011;Bainha Aberta;Sede/ Distrito de Morro Vermelho;MUNICIPAL;RI*SAB;2019,0
Cambuí;Inscrição nº01/2014;Virado de Banana;Não informado;MUNICIPAL;RI*SAB;2016,0
Diamantina;Inscrição nº01/2014;Festa do Divino;Não informado;MUNICIPAL;RI*CEL;2016,0
Brumadinho;Inscrição nº01/2014;Corporação musical Nossa Senhora da Conceição;Rua São Sebastião nº 20 Conceição de Itaguá;MUNICIPAL;RI*FOR;2017,0
Canaã;Inscrição nº01/2014;Festa de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2017,0
Carmo do Rio Claro;Inscrição nº01/2015;Doces cristalizados e em compota;Não informado;MUNICIPAL;RI*SAB;2017,0
Caeté;Inscrição nº01/2015;Sociedade Musical Santa Cecília de Morro Vermelho;Distrito de Morro Vermelho;MUNICIPAL;RI*FOR;2019,0
Carandaí;Inscrição nº01/2017;Corporação musical Santa Cecília;Não informado;MUNICIPAL;RI*FOR;2019,0
Cascalho Rico;Inscrição nº01/2017;Corporação musical Alício Miranda;Não informado;MUNICIPAL;RI*FOR;2019,0
Cássia;Inscrição nº01/2018;Coral dos Pequenos Cantores;Não informado;MUNICIPAL;RI*FOR;2020,0
Campos Altos;Inscrição nº01/2019;Festa de Nossa Senhora do Rosário e de São Benedito;Rua Jorge Lemos,358, Bairro Camposaltinho;MUNICIPAL;RI*CEL;2021,0
Carbonita;Inscrição nº01/2019;Carboarte – Mostra de cultura popular de Carbonita e do Vale do Jequitinhonha;Não informado;MUNICIPAL;RI;2021,0
Abadia dos Dourados;Inscrição nº01/2020;Modo de fazer crochê;Não informado;MUNICIPAL;RI*SAB;2022,0
Andradas;Inscrição nº01/2020;Banda Lira da Mantiqueira;Não informado;MUNICIPAL;RI*FOR;2022,0
Andradas;Inscrição nº01/2020;Modo de fazer o Virado de Frango Andradense;Não informado;MUNICIPAL;RI*SAB;2022,0
Abadia dos Dourados;Inscrição nº01/2021;Modo de fazer doce;Não informado;MUNICIPAL;RI*SAB;2023,0
Baependi;Inscrição nº01/2021;Cerimônias da Semana Santa;Não informado;MUNICIPAL;RI*CEL;2023,0
Belo Vale;Inscrição nº01/2021;Comunidade Quilombola Chacrinha dos Pretos;Não informado;MUNICIPAL;RI*LUG;2023,0
Bueno Brandão;Inscrição nº01/2021;Banho de Cachoeira de Bueno Brandão;Não informado;MUNICIPAL;RI*SAB;2023,0
Campos Gerais;Inscrição nº01/2021;Semana da Juventude;Não informado;MUNICIPAL;RI*FOR;2023,0
Alvinópólis;Inscrição nº01/2022;Congado de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2024,0
Arceburgo;Inscrição nº01/2022;Tradicional Festa de São João Batista;Não informado;MUNICIPAL;RI*CEL;2024,0
Arceburgo;Inscrição nº01/2022;Artesanato em Arceburgo – Saberes e Fazeres;Não informado;MUNICIPAL;RI*SAB;2024,0
Arceburgo;Inscrição nº01/2022;Banda de música Fortaleza;Não informado;MUNICIPAL;RI*FOR;2024,0
Belo Vale;Inscrição nº01/2022;Festa de Santana;Não informado;MUNICIPAL;RI*CEL;2024,0
Camanducaia;Inscrição nº01/2022;Pintura Bauernmalerei;Não informado;MUNICIPAL;RI*SAB;2024,0
Capinópolis;Inscrição nº01/2022;Banda de música Santa Cecília;Não informado;MUNICIPAL;RI*FOR;2024,0
Careaçu;Inscrição nº01/2022;Congada de São Benedito;Não informado;MUNICIPAL;RI*FOR;2024,0
Carmo do Paranaíba;Inscrição nº01/2022;Modo de fazer broa de massa de queijo;Não informado;MUNICIPAL;RI*SAB;2025,0
Betim;Inscrição nº014/ 2014;Mestres de Capoeira de Betim;Não informado;MUNICIPAL;RI*SAB;2016,0
Betim;Inscrição nº015 / 2015;Ofício da Benzeção;Não informado;MUNICIPAL;RI*SAB;2017,0
Brumadinho;Inscrição nº02 /2014;Corporação musical Santo Antônio;Rua José Rosa da Silva nº 50 - Pov. de Suzana;MUNICIPAL;RI*FOR;2017,0
Brumadinho;Inscrição nº02/2012;Guarda de Moçambique do Aranha;Povoado do Aranha;MUNICIPAL;RI*CEL;2017,0
Carmo do Rio Claro;Inscrição nº02/2015;Tecelagem;Não informado;MUNICIPAL;RI*SAB;2017,0
Caeté;Inscrição nº02/2015;Festa de Nossa Senhora do Rosário de Morro Vermelho;Distrito de Morro Vermelho;MUNICIPAL;RI*CEL;2020,0
Bueno Brandão;Inscrição nº02/2016;Arraiá do Zé Bagunça;Não informado;MUNICIPAL;RI*CEL;2018,0
Caeté;Inscrição nº02/2017;Queijo do Frei Rosário;Não informado;MUNICIPAL;RI;2019,0
Carandaí;Inscrição nº02/2017;Bandas de Congados de Carandaí;Não informado;MUNICIPAL;RI*FOR;2019,0
Carneirinho;Inscrição nº02/2019;Festa de São Sebastião;Não informado;MUNICIPAL;RI*CEL;2021,0
Andradas;Inscrição nº02/2020;Modo de fazer artesanato em fibra de Taboa;Não informado;MUNICIPAL;RI*SAB;2022,0
Barão de Cocais;Inscrição nº02/2020;Passagem nas Brasas de São João;Não informado;MUNICIPAL;RI*FOR;2022,0
Belo Vale;Inscrição nº02/2020;Banda de música Santa Cecília de São Gonçalo da Ponte;Não informado;MUNICIPAL;RI*FOR;2022,0
Carvalhópolis;Inscrição nº02/2020;Festa de São Sebastião;Igreja Matriz de Carvalhópolis, Praça Monsenhor Dutra;MUNICIPAL;RI*CEL;2022,0
Antônio Carlos;Inscrição nº02/2020;Flequeijo – Festival do leite e do queijo;Não informado;MUNICIPAL;RI*CEL;2022,0
Araçuaí;Inscrição nº02/2020;Feira de Araçuaí;Não informado;MUNICIPAL;RI*FOR;2022,0
Campo do Meio;Inscrição nº02/2021;Congado de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2025,0
Brás Pires;Inscrição nº02/2021;Festa da Batata;Não informado;MUNICIPAL;RI*CEL;2023,0
Arapuá;Inscrição nº02/2022;Modo de fazer biscoito no forno de pedra;Não informado;MUNICIPAL;RI*SAB;2024,0
Paracatu;Inscrição nº02/2023;Tapuiada;Não informado;MUNICIPAL;RI*FOR;2025,0
Brumadinho;Inscrição nº03 /2014;Jubileu de Nossa Senhora da Piedade;Rua do Rosário - Distrito de Piedade do Paraopeba;MUNICIPAL;RI*CEL;2017,0
Barão de Cocais;Inscrição nº03/ 2018;Festa de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2020,0
Brumadinho;Inscrição nº03/2014;Corporação Musical Banda Santa Efigênia;Rua Governados Valadares nº 226 - Centro;MUNICIPAL;RI*FOR;2017,0
Caeté;Inscrição nº03/2015;Congado de Santo Antonio;R. José Roberto Pereira 319 - B. Dechamps;MUNICIPAL;RI*CEL;2019,0
Campanha;Inscrição nº03/2017;Companhia de Folia de Reis da Campanha;Não informado;MUNICIPAL;RI*CEL;2019,0
Barão de Cocais;Inscrição nº03/2020;Toque dos sinos do Santuário de São João Batista;Não informado;MUNICIPAL;RI*FOR;2022,0
Andradas;Inscrição nº03/2021;Doce da Festa do Campestrinho;Não informado;MUNICIPAL;RI*SAB;2023,0
Caeté;Inscrição nº04/2019;Linguajar dos Fogos de Artifício;Não informado;MUNICIPAL;RI*CEL;2021,0
Caldas;Inscrição nº04/2022;Uso terapêutico das Águas Termais de Pocinhos do Rio Verde;Não informado;MUNICIPAL;RI*SAB;2024,0
Andradas;Inscrição nº04/2022;Modo de fazer vinho de uva Jacques;Não informado;MUNICIPAL;RI*SAB;2024,0
Romaria;Inscrição nº05/ 2019;Festa de Padre Eustáquio;Não informado;MUNICIPAL;RI*CEL;2021,0
Carmo da Cachoeira;Inscrição nº05/2017;Festa da Criação do Distrito de Carmo da Cachoeira;Praça do Carmo - Centro;MUNICIPAL;RI*CEL;2020,0
Campanha;Inscrição nº05/2021;Tecelagem artesanal de Fios e Fibras;Não informado;MUNICIPAL;RI*SAB;2023,0
Sem Peixe;;Cavalgada;Cavalgada de Sem Peixe;MUNICIPAL;RI*CEL;2017,0
Mutum;;Charola de São Sebastião;Distrito do Córrego da Ponte Alta;MUNICIPAL;RI*FOR;2016,0
Felixlândia;;Jubileu Nossa Senhora da Piedade;Ocorrência: Santuário e seu entorno imediato;MUNICIPAL;RI;2011,0
Conceição dos Ouros;;Festa do Polvilho;Pç. José Maria de Souza;MUNICIPAL;RI*CEL;2011,0
Ingaí;;Festa da Fogueira em homenagem a São João Batista;Praça de eventos da cidade;MUNICIPAL;RI*CEL;2011,0
Jequeri;;Jubileu do Bom Jesus do Grota;Ruas Laurindo Alves de Sena, Tertuliano Osório e José Martins de Lima - Distrito de São Sebastião do Grota;MUNICIPAL;RI*CEL;2011,0
Felício dos Santos;;Marujada Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI;2011,0
Formiga;;Congado de Formiga;Não informado;MUNICIPAL;RI*FOR;2011,0
Guarani;;Salão do Estandarte;Não informado;MUNICIPAL;RI*FOR;2011,0
Itajubá;;Pastel de farinha de milho de Itajubá;Não informado;MUNICIPAL;RI*SAB;2011,0
Passa Quatro;;Modo de Fazer os Tapetes da Procissão de Corpus Christi;Não informado;MUNICIPAL;RI*SAB;2011,0
Patos de Minas;;Folia de Reis;Não informado;MUNICIPAL;RI*FOR;2011,0
Piraúba;;Fatia de Braga;Não informado;MUNICIPAL;RI*SAB;2011,0
São Vicente de Minas;;Festa do Espírito Santo;Não informado;MUNICIPAL;RI*CEL;2011,0
Turvolândia;;Festa de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2011,0
Virginópolis;;Festival da Jabuticaba;Não informado;MUNICIPAL;RI*CEL;2011,0
Guiricema;;Banda Musical Amantes da Lira;Área central;MUNICIPAL;RI;2012,0
Brás Pires;;Festa de Nossa Senhora do Rosário;Área Urbana - Sede / Igreja Matriz de Nossa Senhorado Rosário e Salão Paroquial;MUNICIPAL;RI*CEL;2012,0
Conceição do Rio Verde;;Encontro de Congadas;Av. Monsenhor José Augusto Alckim s/ nº - Poliesportivo Tancredo Neves;MUNICIPAL;RI*CEL;2012,0
Araçaí;;Festa de Nossa Senhorado Rosário;B. Nossa Senhorado Rosário - Sede;MUNICIPAL;RI*CEL;2012,0
Bias Fortes;;Festa Quilombola da Comunidade Colônia do Paiol;Colônia do Paiol;MUNICIPAL;RI*CEL;2012,0
Buenópolis;;Festa do Divino Espírito Santo;Distrito de Curimataí;MUNICIPAL;RI*CEL;2012,0
Divinolândia de Minas;;Banda Lira do Divino;Distrito Sede;MUNICIPAL;RI*FOR;2012,0
Catas Altas da Noruega;;Guarda de Congado de Nossa Senhora das Graças;Localidade de Cinco Réis;MUNICIPAL;RI*FOR;2012,0
Chiador;;Celebração da Passagem na Fogueira de São João;Ocorrencia na comunidade de Sapucaia de Minas;MUNICIPAL;RI*CEL;2012,0
Capitólio;;Carnapitólio;Ocorrência na Praia Artificial Domingos Gonçalves Machado;MUNICIPAL;RI*CEL;2012,0
Carangola;;Boi Pintadinho;Ocorrência na sede do município;MUNICIPAL;RI*FOR;2012,0
Canápolis;;Festa Nossa Senhora do Rosário e São Benedito;Ocorrência no B. Boa Esperança;MUNICIPAL;RI*CEL;2012,0
Caldas;;Festa do biscoito;Parque das Águas de Pocinhos de Rio Verde e Balneário Dr. Reynaldo de Oliveira Pimenta em Pocinhos do Rio Verde;MUNICIPAL;RI*CEL;2012,0
Alfredo Vasconcelos;;Festival de morangos, rosas e flores;Parque de Exposições Ana Maria Rodrigues;MUNICIPAL;RI*CEL;2012,0
Caeté;;Cavalhada de Nossa Senhora de Nazareth;Pç. da Matriz s/n Morro Vermelho;MUNICIPAL;RI*CEL;2012,0
Bonfinópolis de Minas;;Festa de Lajes;Pov. de Lages - Largo da Ig. das Lages;MUNICIPAL;RI*CEL;2012,0
Jaboticatubas;;Festa de São João;Povoado do Mato do Tição;MUNICIPAL;RI*CEL;2012,0
Itapecerica;;Associação do Reinado de Nossa Senhora do Rosário;Praça Santa Cruz e entorno da Igreja de Nossa Senhora do Rosário;MUNICIPAL;RI*CEL;2012,0
Fernandes Tourinho;;Festa da Cidade;Realizada na área de eventos da cidade situado à Praça Antônio Fernandes de Oliveira;MUNICIPAL;RI*CEL;2012,0
Itanhandu;;Festa Junina;Rua Doutor Olavo G. Pinto - Praça Amador Guedes c/ Avenida Prof. Brito;MUNICIPAL;RI;2012,0
Ipanema;;Corporação Musical Doutor Genuíno Napoleão Magalhães;Rua Edivaldo Miranda s/n°;MUNICIPAL;RI*FOR;2012,0
Ibiraci;;Reinado da comunidade negra de Ibiraci;Rua Marechal Floriano peixoto s/nº;MUNICIPAL;RI;2012,0
João Monlevade;;Guarda de Marujo Nossa Senhora do Rosário;Rua Olga Demétrio, nº 637, bairro Mangabeiras;MUNICIPAL;RI*CEL;2012,0
Cristina;;Corporação Musical Antônio de Freitas Carvalho;Sede situada na Rua Coronel Batista Pinto s/nº;MUNICIPAL;RI*FOR;2012,0
Alagoa;;Modo de fazer o queijo Parmezão;Não informado;MUNICIPAL;RI*SAB;2012,0
Cabo Verde;;Fanfarra;Não informado;MUNICIPAL;RI*FOR;2012,0
Delfim Moreira;;Modo de Fazer da Sopa de Marmelo;Não informado;MUNICIPAL;RI;2012,0
Divinópolis;;Reinado de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI;2012,0
Dores do Indaiá;;Festa de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2012,0
Ipuiúna;;Desfile de Carros de Boi;Não informado;MUNICIPAL;RI*CEL;2012,0
Itabirito;;Modo de Fazer Pastel de Angú;Não informado;MUNICIPAL;RI*SAB;2012,0
Muriaé;;Celebração na Gruta da Pedra Santa;Não informado;MUNICIPAL;RI*CEL;2012,0
Nova Resende;;Companhia dos Reis;Não informado;MUNICIPAL;RI*CEL;2012,0
Oliveira Fortes;;Festa Nossa Senhora do Livramento;Não informado;MUNICIPAL;RI*CEL;2012,0
Ouro Preto;;Festa de Nossa Senhora dos Remédios do Fundão de Cintra;Não informado;MUNICIPAL;RI*CEL;2012,0
Ouro Preto;;Tradicional produção de doces artesanais de São Bartolomeu;Não informado;MUNICIPAL;RI*SAB;2012,0
Pará de Minas;;Guardas de Congado;Não informado;MUNICIPAL;RI*FOR;2012,0
Peçanha;;Trezena de Santo Antônio;Não informado;MUNICIPAL;RI;2012,0
Poço Fundo;;Festa de São Benedito;Não informado;MUNICIPAL;RI*CEL;2012,0
Rio Espera;;Congado de Rio Espera;Não informado;MUNICIPAL;RI*FOR;2012,0
Rio Novo;;Bloco do Zé Pereira;Não informado;MUNICIPAL;RI*CEL;2012,0
Rio Piracicaba;;Guardas de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI;2012,0
Sabará;;Clube Esporte Siderúrgica;Não informado;MUNICIPAL;RI*LUG;2012,0
Sabará;;Festival da Jabuticaba;Não informado;MUNICIPAL;RI*CEL;2012,0
Santa Bárbara;;Cavalhada de Brumal;Não informado;MUNICIPAL;RI*CEL;2012,0
Santa Maria do Suaçuí;;Missa do Servo de Deus - Lafayette da Costa Coelho;Não informado;MUNICIPAL;RI*CEL;2012,0
São João Nepomuceno;;Modos de Fazer Pratos Típicos de Arroz;Não informado;MUNICIPAL;RI*SAB;2012,0
São Lourenço;;Festa de Agosto;Não informado;MUNICIPAL;RI*CEL;2012,0
Sardoá;;Festival da Laranja;Não informado;MUNICIPAL;RI*FOR;2012,0
Senador Modestino Gonçalves;;Artesanato em Fibras de Bananeira;Não informado;MUNICIPAL;RI;2012,0
Senhora de Oliveira;;Congado de Senhora de Oliveira;Não informado;MUNICIPAL;RI*CEL;2012,0
Tocantins;;Charola de São Sebastião Cristo Rei;Não informado;MUNICIPAL;RI*CEL;2012,0
Turmalina;;Festa do Bom Jesus de Peixe Cru;Não informado;MUNICIPAL;RI;2012,0
Virgínia;;Corporação Musical Santa Cecília;Não informado;MUNICIPAL;RI*FOR;2012,0
Buritis;;Festa de Nossa Senhora da Pena;Área central do município;MUNICIPAL;RI*CEL;2013,0
Carmo de Minas;;Festa de São Pedro, do Bairro dos Campos;B. dos Campos;MUNICIPAL;RI*CEL;2013,0
Manhumirim;;Jubileu do Bom Jesus;Capela de São Roque;MUNICIPAL;RI;2013,0
Matutina;;Desfile do Carro de Boi;Centro de Matutina;MUNICIPAL;RI*CEL;2013,0
Belmiro Braga;;Folia de Reis Estrela da Paz;Distrito de Sobragi;MUNICIPAL;RI*FOR;2013,0
Congonhas do Norte;;Festa de Santana;Distrito Sede;MUNICIPAL;RI*CEL;2013,0
São Gonçalo do Rio Abaixo;;Irmandade Nossa Senhora da Guia;Guarda de Marujos Nossa Senhora da Guia;MUNICIPAL;RI*FOR;2013,0
Mercês;;Festa de Nossa Senhora das Mercês;Ig. matriz de N. Sra. das Mercês - centro;MUNICIPAL;RI*CEL;2013,0
Capelinha;;Feira livre de Capelinha;Ocorrência no Mercado Mun. - Av. Clovis Pimenta s/n°;MUNICIPAL;RI*LUG;2013,0
Capela Nova;;Artesanato de Capela Nova;Pov de Palmeiras, Pov. de Tomés, Pov. de Melo e Sede;MUNICIPAL;RI*SAB;2013,0
Andrelândia;;Banda São Pio X;R. Dr. Antônio Juracy de Oliveira nº 237 - Centro;MUNICIPAL;RI*FOR;2013,0
Cristiano Otoni;;Sociedade Musical Barão do Rio Branco;Rua Antônio José da Costa nº49 - Centro;MUNICIPAL;RI;2013,0
Martinho Campos;;Festa de Nossa Ssenhora da Abadia;Santuário de N. Sra. da Abadi, à Pça Governador Valadares e no seu entorno;MUNICIPAL;RI*CEL;2013,0
Dona Euzébia;;Corporação Musical Aureliano Barbosa;Sede na Praça Libânea Ribeiro s/nº - Centro;MUNICIPAL;RI*FOR;2013,0
Chapada Gaúcha;;Festa e Romaria de Santo Antônio de Serra das Araras;Serra das Araras;MUNICIPAL;RI*CEL;2013,0
Alterosa;;Folia de Reis;Não informado;MUNICIPAL;RI*CEL;2013,0
Campo Belo;;Festa de Reinado;Não informado;MUNICIPAL;RI*CEL;2013,0
Guarda-Mor;;Modo de Fiar e de Tecer de Guarda-Mor;Não informado;MUNICIPAL;RI*SAB;2013,0
Itamogi;;Congadas;Não informado;MUNICIPAL;RI;2013,0
José Raydan;;Cavalgada do Servo de Deus – Lafayete da Costa Coelho;Não informado;MUNICIPAL;RI*CEL;2013,0
Matias Barbosa;;Folia de Reis Estrela do Oriente;Não informado;MUNICIPAL;RI;2013,0
Monte Alegre de Minas;;Festa em Louvor de Nossa Senhora do Rosário e São Benedito;Não informado;MUNICIPAL;RI;2013,0
Olaria;;Festa de Santo Antônio;Não informado;MUNICIPAL;RI;2013,0
Pará de Minas;;Arte Ceramista;Não informado;MUNICIPAL;RI;2013,0
Pará de Minas;;Coral Nossa Senhora da Piedade;Não informado;MUNICIPAL;RI*FOR;2013,0
Pará de Minas;;Corpus Christi;Não informado;MUNICIPAL;RI*CEL;2013,0
Pará de Minas;;Lira Santa Cecília;Não informado;MUNICIPAL;RI;2013,0
Pará de Minas;;Ofício das Biscoiteiras;Não informado;MUNICIPAL;RI*SAB;2013,0
Piranguinho;;Pé de Moleque;Não informado;MUNICIPAL;RI*SAB;2013,0
Prados;;Blocos de Carnaval;Não informado;MUNICIPAL;RI*FOR;2013,0
Raul Soares;;Banda de Música – Corporação Musical Raulsoarense;Não informado;MUNICIPAL;RI;2013,0
Rio Acima;;Festa de Santo Antônio;Não informado;MUNICIPAL;RI*CEL;2013,0
Sabinópolis;;Festa Nissa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2013,0
Santa Bárbara;;Encenação dos Passos da Agonia;Não informado;MUNICIPAL;RI;2013,0
São Sebastião do Paraíso;;Festa da Congada e Moçambique;Não informado;MUNICIPAL;RI;2013,0
São Vicente de Minas;;Folia de Reis;Não informado;MUNICIPAL;RI*FOR;2013,0
Seritinga;;Festa de São João Batista;Não informado;MUNICIPAL;RI*CEL;2013,0
Serra Azul de Minas;;Festa do Serrazulense e Amigos;Não informado;MUNICIPAL;RI*CEL;2013,0
Uberlândia;;Congado - Espaço de Resistência e Identidade/Festa em Louvor à Nossa Senhora do Rosário e São Benedito;Não informado;MUNICIPAL;RI*CEL;2013,0
Congonhal;;Companhia de Reis;B. da Grota Rica na Zona Rural;MUNICIPAL;RI*CEL;2014,0
Alto Jequitibá;;Festa de Setembro;Distrito Sede - Porção central;MUNICIPAL;RI*CEL;2014,0
Arcos;;Festa de Nossa Senhora do Rosário;Parque Nossa Senhorado Rosário situada à R. do Rosário nº 500 - Centro;MUNICIPAL;RI*CEL;2014,0
Cedro do Abaeté;;Companhia de Reis Estrela do Oriente de Cedro do Abaeté;R. Rio Indaiá nº 1178;MUNICIPAL;RI*CEL;2014,0
Bela Vista de Minas;;Congado de Bela Vista de Minas;Revesamento anual entre Região 1 e 2. Região 1- Ig. Matriz de São Sebastião e Residência à R. Frei Ozanan nº 115. Região 2- B. Lages no Centro Comunitário Nossa SenhoraAparecida e na E.E Prof.a Adelina da Conceição Mendes;MUNICIPAL;RI*FOR;2014,0
Barão de Cocais;;Modo de fazer goiabada Cascão;Não informado;MUNICIPAL;RI*SAB;2014,0
Belo Horizonte;;Ofício de fotográfo Lambe-lambe;Não informado;MUNICIPAL;RI*SAB;2014,0
Catas Altas;;Modo de fazer artesanal dos vinhos de uva e jabuticaba e licores de Catas Altas;Não informado;MUNICIPAL;RI*SAB;2014,0
Cláudio;;Festa do Reinado de Nossa Senhora do Rosário de Cláudio;Não informado;MUNICIPAL;RI*CEL;2014,0
Consolação;;Festa de Nossa Senhora da Consolação;Não informado;MUNICIPAL;RI*CEL;2014,0
Itapagipe;;Arraial do Lageado;Não informado;MUNICIPAL;RI*CEL;2014,0
Nova Lima;;Modo de Fazer a Queca;Não informado;MUNICIPAL;RI*SAB;2014,0
Perdizes;;Festa de Nossa Senhora da Cabeça;Não informado;MUNICIPAL;RI*CEL;2014,0
Piedade de Caratinga;;Jubileu de Nossa Senhora da Piedade;Não informado;MUNICIPAL;RI;2014,0
Santa Rita do Sapucaí;;Festa de Santa Rita de Cássia;Não informado;MUNICIPAL;RI*CEL;2014,0
Santana do Jacaré;;Cavalhada;Não informado;MUNICIPAL;RI*CEL;2014,0
São João Nepomuceno;;Cachaça de São João Nepomuceno;Não informado;MUNICIPAL;RI*SAB;2014,0
São Tiago;;Festa do Café com Biscoito;Não informado;MUNICIPAL;RI*CEL;2014,0
Serra da Saudade;;Festa de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2014,0
Uberaba;;Festa N. Sra. da Conceição e de São José da Baixa;Não informado;MUNICIPAL;RI*CEL;2014,0
Várzea da Palma;;Dança do Gamba;Não informado;MUNICIPAL;RI*FOR;2014,0
Chapada do Norte;;Congado de Nossa Senhora do Rosário;Comunidade Quilombola Córrego da Misericórdia;MUNICIPAL;RI*FOR;2015,0
Capim Branco;;Coroações do mês de Maio;Ocorrência na Ig. Matriz - Centro;MUNICIPAL;RI*CEL;2015,0
Casa Grande;;Manifestação da Folia de São Sebastião e a Folia dos Santos Reis e São Sebastião;Ocorrência na sede do município;MUNICIPAL;RI*FOR;2015,0
Lagoa da Prata;;Banda Lira São Carlos;Pç. Capitão Baia s/ nª - B. Sta. Alexandrina;MUNICIPAL;RI;2015,0
Aracitaba;;Jubileu do Senhor do Bonfim;Sede;MUNICIPAL;RI*CEL;2015,0
Matias Barbosa;;Festa da Fogueira;Situada no Jardim do Mina Capela de Santo Expedito;MUNICIPAL;RI;2015,0
Argirita;;Banda musical Lira 1º de Maio;Não informado;MUNICIPAL;RI*FOR;2015,0
Bonfim;;Carnaval a cavalo;Não informado;MUNICIPAL;;2015,0
Datas;;Festa do Divino Espírito Santo;Não informado;MUNICIPAL;RI;2015,0
Engenheiro Caldas;;Banda Municipal Lira Caldense;Não informado;MUNICIPAL;RI*FOR;2015,0
Igarapé;;Mestras da Culinária Tradicional de Igarapé;Não informado;MUNICIPAL;RI*SAB;2015,0
Itabirito;;Corporação Musical Santa Cecília;Não informado;MUNICIPAL;RI*FOR;2015,0
Itabirito;;Corporação Musical União Itabiritense;Não informado;MUNICIPAL;RI*FOR;2015,0
Luz;;Festa de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2015,0
Morro da Garça;;Festa da Lavoura;Não informado;MUNICIPAL;RI*CEL;2015,0
Nova Serrana;;Festa do Reinado;Não informado;MUNICIPAL;RI*CEL;2015,0
Oliveira;;Cai N'água;Não informado;MUNICIPAL;RI*CEL;2015,0
Ouro Preto;;Cavalhada;Não informado;MUNICIPAL;RI*CEL;2015,0
Passa Tempo;;Festa do Reinado de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2015,0
Paula Cândido;;Corporação Musical Monsenhor Lisboa;Não informado;MUNICIPAL;RI;2015,0
Piedade do Rio Grande;;Corporação Musical Santa Cecília;Não informado;MUNICIPAL;RI*FOR;2015,0
Rodeiro;;Banda de Música Lira Rodeirense;Não informado;MUNICIPAL;RI*FOR;2015,0
Rodeiro;;Bloco do Zé Pereira;Não informado;MUNICIPAL;RI*CEL;2015,0
Santa Bárbara;;Festa de Santo Antônio;Não informado;MUNICIPAL;RI;2015,0
Santa Luzia;;Comemoração do Término da Revolução Liberal de 20 de agosto de 1842 em solo Luziense;Não informado;MUNICIPAL;RI*CEL;2015,0
Santo Antônio do Grama;;Corporação Musical Nelson Borges;Não informado;MUNICIPAL;RI*FOR;2015,0
Ubaporanga;;Folia de Reis de São Domingos de Gusmão;Não informado;MUNICIPAL;RI*CEL;2015,0
Vieiras;;Jubileu do Senhor Bom Jesus;Não informado;MUNICIPAL;RI*CEL;2015,0
